Whitelist id,Intersection id,Intersection name,Short description,Street,Number,Corner,Place of business,Bearing,Latitude,Longitude,Service id,Service name,Street view
12591,1566,[Unset] & [Unset],Avenida T-2,Avenida T-2,2047,,,141.574,-16.690799,-49.282232,10,gyn_west,"https://www.instantstreetview.com/@-16.690799,-49.282232,141.574h,0p,1z"
12598,1571,[Unset] & [Unset],Avenida 85,Avenida 85,,,Napoli Fashion Baby and Kids,177.835,-16.697077,-49.264564,10,gyn_west,"https://www.instantstreetview.com/@-16.697077,-49.264564,177.835h,0p,1z"
12600,1572,Avenida T-5 & Avenida T-10,Avenida T-10,Avenida T-10,1018,,Sol e Energia,-114.703,-16.706506,-49.269753,10,gyn_west,"https://www.instantstreetview.com/@-16.706506,-49.269753,-114.703h,0p,1z"
12601,1572,Avenida T-5 & Avenida T-10,Avenida T-11,Avenida T-11,,,,110.435,-16.706581,-49.269513,10,gyn_west,"https://www.instantstreetview.com/@-16.706581,-49.269513,110.435h,0p,1z"
12602,1573,[Unset] & [Unset],rua 87,rua 87,598,,,-97.6572,-16.69081,-49.259643,10,gyn_west,"https://www.instantstreetview.com/@-16.69081,-49.259643,-97.6572h,0p,1z"
12607,1575,Rua R-12 & Rua Doutor Antônio Gomes Frota,rua R-12,rua R-12,,,,143.839,-16.684409,-49.275428,10,gyn_west,"https://www.instantstreetview.com/@-16.684409,-49.275428,143.839h,0p,1z"
12609,1778,[Unset] & [Unset],rua 87,rua 87,,,,71.7952,-16.690381,-49.25554,10,gyn_west,"https://www.instantstreetview.com/@-16.690381,-49.25554,71.7952h,0p,1z"
12614,1580,Rua T-64 & Rua T-36,rua T-64,rua T-64,,,,-92.9633,-16.715675,-49.264797,10,gyn_west,"https://www.instantstreetview.com/@-16.715675,-49.264797,-92.9633h,0p,1z"
12616,1581,Avenida 85 & Rua 85-A,rua 85-A,rua 85-A,,,,118.682,-16.683826,-49.257916,10,gyn_west,"https://www.instantstreetview.com/@-16.683826,-49.257916,118.682h,0p,1z"
12617,1581,Avenida 85 & Rua 85-A,Avenida 85,Avenida 85,145,,,26.5526,-16.683586,-49.257913,10,gyn_west,"https://www.instantstreetview.com/@-16.683586,-49.257913,26.5526h,0p,1z"
