Id,Last Update,Issue,Rider Id,Is Flex,Rider Status,Request Id,Ride type,Number Of Passengers,Ride Cost,Pricing Scheme Id,Van Id,Accepted,Pickup ETA,Dropoff ETA,Pickup Walk Duration,Internal Pickup ETA,External Pickup ETA,ETA Diff,Pricing Distance,Rider Trip Api Id
445257,10/01/2019 17:49:45,1569962978.59,45457,False,,639361,,1,680,2221,29,False,1569964773.88,1569965728.93,305,1569964773.88,1569964773.88,None,2.4 miles,
445256,10/01/2019 17:49:41,1569962975.99,39575,False,,639360,,1,730,2221,41,False,1569964715.18,1569965804.93,327,1569964715.18,1569964715.18,None,3.25 miles,
445255,10/01/2019 17:49:40,1569962975.95,7345,False,None,639359,,1,860,2221,28,False,1569963062.39,1569965172.69,61,1569963062.39,1569963062.39,None,4.12 miles,
445254,10/01/2019 17:49:35,1569962969.3,6453,False,,639358,,1,860,2221,33,False,1569964460.36,1569966568.16,177,1569964460.36,1569964460.36,None,4.23 miles,
445253,10/01/2019 17:49:34,1569962969.21,43607,False,,639357,,1,940,2221,29,False,1569963820.18,1569965758.93,348,1569963820.18,1569963820.18,None,4.39 miles,
445252,10/01/2019 17:49:33,1569962969.02,39677,False,,639356,,1,1300,2221,33,False,1569963406.51,1569966188.66,58,1569963406.51,1569963406.51,None,5.86 miles,
445251,10/01/2019 17:49:25,1569962960.51,20446,False,,639353,,1,540,2221,40,False,1569964685.25,1569965275.05,328,1569964685.25,1569964685.25,None,1.48 miles,
445250,10/01/2019 17:49:21,1569962956.16,46185,False,,639351,,1,680,2221,48,False,1569963871.08,1569964702.33,326,1569963871.08,1569963871.08,None,2.76 miles,
445249,10/01/2019 17:49:11,1569962946.01,44530,False,,639347,,1,940,2221,29,False,1569964465.66,1569966581.06,242,1569964465.66,1569964465.66,None,4.81 miles,
445248,10/01/2019 17:48:59,1569962934.34,7224,False,,639343,,1,540,2221,52,False,1569964386.35,1569964959.15,136,1569964386.35,1569964386.35,None,1.67 miles,
445247,10/01/2019 17:48:45,1569962920.51,39677,False,,639338,,1,1300,2221,33,False,1569963472.28,1569966254.43,58,1569963472.28,1569963472.28,None,5.86 miles,
445246,10/01/2019 17:48:43,1569962917.92,20446,False,,639335,,1,540,2221,40,False,1569964673.8,1569965263.6,328,1569964673.8,1569964673.8,None,1.48 miles,
445245,10/01/2019 17:48:42,1569962916.95,8696,False,,639333,,1,860,2221,33,False,1569963699.98,1569965639.18,211,1569963699.98,1569963699.98,None,4.15 miles,
445244,10/01/2019 17:48:29,1569962903.75,34721,False,,639330,,1,680,2221,29,False,1569964664.2,1569965792.9,174,1569964664.2,1569964664.2,None,2.13 miles,
445243,10/01/2019 17:48:26,1569962900.87,33966,False,None,639327,,1,860,2221,29,False,1569963474.55,1569964766.65,313,1569963474.55,1569963474.55,None,4.02 miles,
