Id,Last Update,Issue,Rider Id,Is Flex,Rider Status,Request Id,Ride type,Number Of Passengers,Ride Cost,Pricing Scheme Id,Van Id,Accepted,Pickup ETA,Dropoff ETA,Pickup Walk Duration,Internal Pickup ETA,External Pickup ETA,ETA Diff,Pricing Distance,Rider Trip Api Id
511857,10/18/2019 09:12:59,1571400776.59,26871,False,,752314,,1,940,2218,54,False,1571401606.85,1571403386.45,363,1571401606.85,1571401606.85,None,4.67 miles,
511856,10/18/2019 09:12:50,1571400767.16,49845,False,,752313,,1,1140,2218,54,False,1571401012.16,1571403377.21,245,1571401012.16,1571401012.16,None,5.34 miles,
511855,10/18/2019 09:12:43,1571400760.76,56752,False,None,752312,,1,860,2218,41,False,1571401097.76,1571402531.91,337,1571401097.76,1571401097.76,None,3.99 miles,
511854,10/18/2019 09:12:35,1571400751.56,3490,False,,752311,,1,470,2218,25,False,1571401554.61,1571402144.66,275,1571401554.61,1571401554.61,None,1.67 miles,
511853,10/18/2019 09:11:57,1571400713.99,35973,False,,752310,,1,520,2218,62,False,1571401317.97,1571402653.67,301,1571401317.97,1571401317.97,None,2.83 miles,
511852,10/18/2019 09:11:13,1571400664.89,9416,False,,752308,,1,500,2218,25,True,1571401237.01,1571401966.21,134,1571401237.01,1571401237.01,None,1.94 miles,
511851,10/18/2019 09:10:44,1571400641.04,51986,False,,752306,,1,940,2218,59,False,1571402227.64,1571403889.49,263,1571402227.64,1571402227.64,None,4.31 miles,
511850,10/18/2019 09:10:39,1571400629.78,5592,False,,752305,,1,470,2218,49,True,1571401005.83,1571401469.38,327,1571401005.83,1571401005.83,None,1.38 miles,
511849,10/18/2019 09:10:10,1571400605.87,24258,False,,752304,,1,670,2218,42,False,1571401433.66,1571403051.61,162,1571401433.66,1571401433.66,None,3.12 miles,
511848,10/18/2019 09:09:30,1571400562.51,40502,False,,752303,,1,940,2218,25,True,1571401002.37,1571402449.17,328,1571401002.37,1571401002.37,None,4.63 miles,
511847,10/18/2019 09:09:38,1571400548.1,33294,False,,752302,,1,470,2218,43,True,1571401622.09,1571402544.88,295,1571401622.09,1571401622.09,None,1.49 miles,
511846,10/18/2019 09:09:05,1571400542.5,35439,False,,752301,,1,500,2218,57,False,1571400888.5,1571402058.15,346,1571400888.5,1571400888.5,None,2.32 miles,
511845,10/18/2019 09:08:57,1571400532.68,52327,False,,752300,,1,860,2218,62,False,1571401568.97,1571402791.52,336,1571401568.97,1571401568.97,None,4.2 miles,
511844,10/18/2019 09:08:40,1571400500.02,48405,False,,752299,,1,500,2218,27,True,1571400813.02,1571401682.52,313,1571400813.02,1571400813.02,None,2.23 miles,
511843,10/18/2019 09:07:55,1571400463.41,26265,False,,752298,,1,940,2218,33,True,1571400948.58,1571402220.58,233,1571400948.58,1571400948.58,None,4.51 miles,
511842,10/18/2019 09:07:45,1571400461.14,33,False,None,752297,,1,470,2218,27,False,1571400622.14,1571401097.19,161,1571400622.14,1571400622.14,None,1.52 miles,
511841,10/18/2019 09:07:38,1571400454.98,48405,False,,752296,,1,500,2218,27,False,1571400610.98,1571401590.88,156,1571400610.98,1571400610.98,None,2.23 miles,
511840,10/18/2019 09:07:49,1571400446.67,44694,False,,752295,,1,520,2218,54,True,1571401237.45,1571402055.2,220,1571401237.45,1571401237.45,None,2.67 miles,
511839,10/18/2019 09:07:05,1571400421.61,51454,False,,752294,,1,670,2218,54,False,1571401680.12,1571403223.52,7,1571401680.12,1571401680.12,None,3.38 miles,
