Id,Last Update,Issue,Rider Id,Is Flex,Rider Status,Request Id,Ride type,Number Of Passengers,Ride Cost,Pricing Scheme Id,Van Id,Accepted,Pickup ETA,Dropoff ETA,Pickup Walk Duration,Internal Pickup ETA,External Pickup ETA,ETA Diff,Pricing Distance,Rider Trip Api Id
441657,10/01/2019 06:52:14,1569923526.08,1975,False,,633800,,1,670,2219,36,True,1569923991.6,1569925475.71,180,1569923991.6,1569923991.6,None,3.21 miles,
441656,10/01/2019 06:52:03,1569923522.08,275,False,,633799,,1,470,2219,48,False,1569924969.47,1569925548.65,95,1569924969.47,1569924969.47,None,1.76 miles,
441655,10/01/2019 06:52:03,1569923521.81,18396,False,,633798,,1,860,2219,26,False,1569924864.62,1569926221.24,46,1569924864.62,1569924864.62,None,4.0 miles,
441654,10/01/2019 06:50:21,1569923419.37,5035,False,,633775,,1,1200,2219,56,False,1569924297.59,1569926522.33,145,1569924297.59,1569924297.59,None,6.39 miles,
441653,10/01/2019 06:50:25,1569923405.12,40025,False,,633770,,1,520,2219,55,True,1569924579.03,1569925965.82,168,1569924579.03,1569924579.03,None,3.02 miles,
441652,10/01/2019 06:50:03,1569923399.93,4980,False,,633768,,1,670,2219,24,False,1569923964.87,1569925167.91,99,1569923964.87,1569923964.87,None,3.22 miles,
441651,10/01/2019 06:49:20,1569923348.62,44813,False,,633745,,1,860,2219,56,True,1569924512.28,1569925718.61,63,1569924512.28,1569924512.28,None,3.78 miles,
441650,10/01/2019 06:49:32,1569923338.38,16068,False,,633741,,1,500,2219,29,True,1569924291.82,1569925032.9,201,1569924291.82,1569924291.82,None,1.93 miles,
441649,10/01/2019 06:48:30,1569923303.35,44976,False,,633722,,1,940,2219,23,True,1569924499.49,1569926136.35,42,1569924499.49,1569924499.49,None,4.36 miles,
441648,10/01/2019 06:47:52,1569923266.67,22256,False,,633700,,1,860,2219,53,True,1569923471.68,1569924903.16,101,1569923471.68,1569923471.68,None,4.16 miles,
441647,10/01/2019 06:47:42,1569923248.75,13289,False,,633689,,1,670,2219,24,True,1569923654.27,1569924955.49,142,1569923654.27,1569923654.27,None,3.4 miles,
441646,10/01/2019 06:47:10,1569923223.07,18362,False,,633671,,1,500,2219,41,True,1569924302.92,1569924949.9,138,1569924302.92,1569924302.92,None,2.15 miles,
441645,10/01/2019 06:46:54,1569923208.04,18396,False,,633664,,1,860,2219,32,True,1569924180.03,1569925338.9,46,1569924180.03,1569924180.03,None,4.0 miles,
441644,10/01/2019 06:46:46,1569923203.78,16068,False,,633662,,1,500,2219,26,False,1569923596.98,1569924220.85,75,1569923596.98,1569923596.98,None,1.93 miles,
441643,10/01/2019 06:46:00,1569923157.91,44064,False,,633632,,1,520,2219,23,False,1569924285.51,1569924944.92,78,1569924285.51,1569924285.51,None,2.54 miles,
441642,10/01/2019 06:46:10,1569923157.82,49896,False,,633631,,1,670,2219,51,True,1569924347.97,1569925497.46,53,1569924347.97,1569924347.97,None,3.12 miles,
441641,10/01/2019 06:45:58,1569923156.36,18396,False,,633628,,1,860,2219,32,False,1569924125.79,1569925284.66,46,1569924125.79,1569924125.79,None,4.0 miles,
441640,10/01/2019 06:45:48,1569923139.45,42356,False,,633617,,1,500,2219,44,True,1569924086.99,1569924915.9,9,1569924086.99,1569924086.99,None,1.93 miles,
441639,10/01/2019 06:45:40,1569923130.05,53339,False,None,633612,,1,670,2219,38,True,1569923393.3,1569924391.06,196,1569923393.3,1569923393.3,None,3.18 miles,
441638,10/01/2019 06:45:22,1569923120.5,42356,False,,633605,,1,500,2219,44,False,1569924086.99,1569924915.9,9,1569924086.99,1569924086.99,None,1.93 miles,
441637,10/01/2019 06:45:18,1569923116.26,18396,False,,633601,,1,860,2219,32,False,1569924091.03,1569925249.9,46,1569924091.03,1569924091.03,None,4.0 miles,
441636,10/01/2019 06:45:01,1569923095.02,24863,False,,633590,,1,520,2219,42,True,1569924219.58,1569925160.36,228,1569924219.58,1569924219.58,None,2.88 miles,
441635,10/01/2019 06:44:55,1569923092.8,16068,False,,633587,,1,500,2219,26,False,1569923673.15,1569924297.02,75,1569923673.15,1569923673.15,None,1.93 miles,
441634,10/01/2019 06:44:44,1569923081.77,42356,False,,633583,,1,500,2219,42,False,1569923335.21,1569924164.12,9,1569923335.21,1569923335.21,None,1.93 miles,
