Id,Last Update,Issue,Rider Id,Is Flex,Rider Status,Request Id,Ride type,Number Of Passengers,Ride Cost,Pricing Scheme Id,Van Id,Accepted,Pickup ETA,Dropoff ETA,Pickup Walk Duration,Internal Pickup ETA,External Pickup ETA,ETA Diff,Pricing Distance,Rider Trip Api Id
556257,10/30/2019 16:31:57,1572463913.79,33,False,None,816239,,1,470,2218,38,False,1572464663.37,1572465209.37,60,1572464663.37,1572464663.37,None,1.52 miles,
556256,10/30/2019 16:32:06,1572463905.29,47328,False,,816237,,1,860,2218,49,True,1572464680.35,1572465877.35,67,1572464680.35,1572464680.35,None,3.98 miles,
556255,10/30/2019 16:31:42,1572463887.84,44064,False,,816235,,1,520,2218,40,True,1572464605.61,1572465285.61,216,1572464605.61,1572464605.61,None,2.68 miles,
556254,10/30/2019 16:31:07,1572463864.91,47328,False,,816229,,1,860,2218,49,False,1572464631.05,1572465828.05,67,1572464631.05,1572464631.05,None,3.98 miles,
556253,10/30/2019 16:31:06,1572463861.82,1463,False,,816228,,1,860,2218,23,False,1572464374.95,1572465850.95,114,1572464374.95,1572464374.95,None,4.03 miles,
556252,10/30/2019 16:30:45,1572463842.77,58341,False,None,816224,,1,520,2218,34,False,1572464496.98,1572465948.98,140,1572464496.98,1572464496.98,None,2.78 miles,
556251,10/30/2019 16:30:49,1572463840.93,1798,False,,816223,,1,520,2218,24,True,1572465001.03,1572465860.03,96,1572465001.03,1572465001.03,None,2.76 miles,
556250,10/30/2019 16:30:52,1572463826.88,48244,False,None,816220,,1,520,2218,58,True,1572464601.68,1572465598.68,222,1572464601.68,1572464601.68,None,3.04 miles,
556249,10/30/2019 16:30:17,1572463814.65,46052,False,,816216,,1,520,2218,58,False,1572465004.68,1572465787.68,29,1572465004.68,1572465004.68,None,2.71 miles,
556248,10/30/2019 16:30:04,1572463801.56,58462,False,,816214,,1,430,2218,44,False,1572465164.37,1572466391.37,51,1572465164.37,1572465164.37,None,3.87 miles,
556247,10/30/2019 16:29:15,1572463752.54,57577,False,None,816206,,1,520,2218,58,False,1572464732.25,1572465956.25,62,1572464732.25,1572464732.25,None,2.84 miles,
556246,10/30/2019 16:29:22,1572463733.57,56989,False,,816200,,1,500,2218,43,True,1572464380.58,1572465448.58,72,1572464380.58,1572464380.58,None,2.11 miles,
556245,10/30/2019 16:29:10,1572463732.66,50791,False,,816199,,1,470,2218,61,True,1572464668.19,1572465361.19,2,1572464668.19,1572464668.19,None,1.33 miles,
556244,10/30/2019 16:28:42,1572463718.87,29299,False,,816194,,1,470,2218,25,False,1572464287.56,1572465063.56,71,1572464287.56,1572464287.56,None,1.59 miles,
556243,10/30/2019 16:28:34,1572463712.01,38489,False,,816193,,1,1140,2218,56,False,1572464585.74,1572466183.74,30,1572464585.74,1572464585.74,None,5.05 miles,
556242,10/30/2019 16:28:19,1572463695.49,50791,False,,816189,,1,470,2218,61,False,1572464668.19,1572465361.19,2,1572464668.19,1572464668.19,None,1.33 miles,
556241,10/30/2019 16:28:11,1572463688.54,49793,False,,816187,,1,670,2218,56,False,1572464420.46,1572465392.46,139,1572464420.46,1572464420.46,None,3.14 miles,
556240,10/30/2019 16:28:02,1572463675.31,54789,False,,816185,,1,1140,2218,50,True,1572464325.69,1572465912.69,186,1572464325.69,1572464325.69,None,5.11 miles,
556239,10/30/2019 16:27:49,1572463657.29,46372,False,,816183,,1,670,2218,59,True,1572464827.89,1572465746.89,158,1572464827.89,1572464827.89,None,3.67 miles,
556238,10/30/2019 16:27:38,1572463655.42,50791,False,,816181,,1,470,2218,61,False,1572464682.26,1572465327.26,100,1572464682.26,1572464682.26,None,1.42 miles,
556237,10/30/2019 16:27:38,1572463650.49,4438,False,,816180,,1,500,2218,57,True,1572463955.29,1572464870.29,146,1572463955.29,1572463955.29,None,2.1 miles,
556236,10/30/2019 16:27:03,1572463607.95,20669,False,,816171,,1,670,2218,35,True,1572464651.84,1572466156.84,90,1572464651.84,1572464651.84,None,3.57 miles,
556235,10/30/2019 16:26:47,1572463605.65,49793,False,,816170,,1,430,2218,56,False,1572464376.08,1572464658.08,139,1572464376.08,1572464376.08,None,0.67 miles,
556234,10/30/2019 16:26:47,1572463603.7,50791,False,,816169,,1,470,2218,61,False,1572464771.22,1572465416.22,87,1572464771.22,1572464771.22,None,1.42 miles,
556233,10/30/2019 16:26:35,1572463579.06,4862,False,,816167,,1,940,2218,25,True,1572464664.11,1572465942.11,207,1572464664.11,1572464664.11,None,4.96 miles,
556232,10/30/2019 16:26:28,1572463577.98,56498,False,None,816166,,1,1230,2218,36,True,1572464556.11,1572466620.11,85,1572464556.11,1572464556.11,None,7.03 miles,
556231,10/30/2019 16:26:20,1572463571.0,25200,False,,816164,,1,670,2218,23,True,1572464290.16,1572465364.16,4,1572464290.16,1572464290.16,None,3.25 miles,
556230,10/30/2019 16:26:26,1572463569.32,13159,False,,816163,,1,670,2218,62,True,1572464697.03,1572466004.03,161,1572464697.03,1572464697.03,None,3.57 miles,
556229,10/30/2019 16:25:51,1572463547.16,56498,False,None,816157,,1,1230,2218,60,False,1572463684.73,1572466001.73,122,1572463684.73,1572463684.73,None,7.03 miles,
556228,10/30/2019 16:25:59,1572463548.4,17223,False,,816158,,3,960,2218,60,True,1572464335.73,1572465728.73,158,1572464335.73,1572464335.73,None,3.93 miles,
556227,10/30/2019 16:25:42,1572463539.87,33,False,None,816156,,1,470,2218,38,False,1572464614.88,1572465160.88,60,1572464614.88,1572464614.88,None,1.52 miles,
556226,10/30/2019 16:25:38,1572463535.4,47328,False,,816155,,1,860,2218,49,False,1572464627.04,1572465940.04,153,1572464627.04,1572464627.04,None,4.14 miles,
556225,10/30/2019 16:25:30,1572463526.28,17223,False,,816154,,3,960,2218,60,False,1572464335.73,1572465728.73,158,1572464335.73,1572464335.73,None,3.93 miles,
556224,10/30/2019 16:25:13,1572463510.29,17223,False,,816153,,1,860,2218,60,False,1572464346.3,1572465739.3,158,1572464346.3,1572464346.3,None,3.93 miles,
556223,10/30/2019 16:25:23,1572463506.43,2813,False,,816152,,1,470,2218,52,True,1572464589.39,1572465182.39,188,1572464589.39,1572464589.39,None,1.65 miles,
556222,10/30/2019 16:24:55,1572463492.13,56498,False,None,816151,,1,1230,2218,36,False,1572464568.8,1572466632.8,85,1572464568.8,1572464568.8,None,7.03 miles,
