Id,Last Update,Issue,Rider Id,Is Flex,Rider Status,Request Id,Ride type,Number Of Passengers,Ride Cost,Pricing Scheme Id,Van Id,Accepted,Pickup ETA,Dropoff ETA,Pickup Walk Duration,Internal Pickup ETA,External Pickup ETA,ETA Diff,Pricing Distance,Rider Trip Api Id
555363,10/30/2019 13:25:42,1572452735.94,33,False,None,814976,,1,470,2218,50,False,1572453581.26,1572453923.26,221,1572453581.26,1572453581.26,None,1.52 miles,
555362,10/30/2019 13:25:34,1572452728.86,36834,False,,814975,,1,500,2218,38,False,1572453982.53,1572454880.53,41,1572453982.53,1572453982.53,None,2.28 miles,
555361,10/30/2019 13:24:59,1572452693.97,5051,False,,814974,,1,520,2218,43,False,1572452834.82,1572453464.82,112,1572452834.82,1572452834.82,None,2.61 miles,
555360,10/30/2019 13:24:55,1572452688.95,10108,False,,814973,,1,670,2218,40,False,1572453170.92,1572454547.92,285,1572453170.92,1572453170.92,None,3.14 miles,
555359,10/30/2019 13:24:40,1572452674.92,629,False,,814972,,1,520,2218,41,False,1572453214.73,1572454097.73,310,1572453214.73,1572453214.73,None,2.88 miles,
555358,10/30/2019 13:24:42,1572452671.08,57626,False,,814971,,1,430,2218,58,True,1572453046.12,1572453412.12,138,1572453046.12,1572453046.12,None,1.06 miles,
446757,10/02/2019 07:30:17,1570012214.13,20104,False,,643119,,1,1450,2220,46,False,1570013523.24,1570015954.29,148,1570013523.24,1570013523.24,None,6.61 miles,
446756,10/02/2019 07:30:23,1570012203.35,53017,False,,643118,,1,900,2220,40,True,1570013294.48,1570014366.53,138,1570013294.48,1570013294.48,None,3.1 miles,
446755,10/02/2019 07:29:58,1570012189.94,44535,False,,643117,,1,900,2220,27,True,1570013562.01,1570015074.11,156,1570013562.01,1570013562.01,None,4.12 miles,
446754,10/02/2019 07:29:37,1570012173.18,44732,False,,643116,,2,620,2220,24,False,1570012962.05,1570013940.8,1,1570012962.05,1570012962.05,None,2.84 miles,
446753,10/02/2019 07:29:19,1570012154.83,53587,False,None,643115,,1,900,2220,47,False,1570012371.83,1570014659.48,217,1570012371.83,1570012371.83,None,3.38 miles,
446752,10/02/2019 07:29:04,1570012130.95,31412,False,,643111,,1,500,2220,45,True,1570012714.95,1570013176.2,360,1570012714.95,1570012714.95,None,1.35 miles,
446751,10/02/2019 07:28:24,1570012092.02,6183,False,,643110,,1,570,2220,42,True,1570013340.59,1570014480.79,62,1570013340.59,1570013340.59,None,3.07 miles,
446750,10/02/2019 07:28:20,1570012086.76,2371,False,,643109,,1,500,2220,23,True,1570012531.31,1570013402.41,222,1570012531.31,1570012531.31,None,2.27 miles,
446749,10/02/2019 07:28:04,1570012080.36,31412,False,,643108,,1,500,2220,45,False,1570012662.26,1570013123.51,360,1570012662.26,1570012662.26,None,1.35 miles,
446748,10/02/2019 07:28:04,1570012079.93,31412,False,,643083,,1,500,2220,45,True,1570012662.26,1570013123.51,360,1570012662.26,1570012662.26,None,1.35 miles,
446747,10/02/2019 07:28:21,1570012078.16,9953,False,,643107,,1,570,2220,40,True,1570012511.5,1570013661.75,94,1570012511.5,1570012511.5,None,3.07 miles,
446746,10/02/2019 07:27:55,1570012069.75,46762,False,,643106,,1,500,2220,44,False,1570013259.37,1570014129.32,63,1570013259.37,1570013259.37,None,2.17 miles,
446745,10/02/2019 07:27:42,1570012056.8,53698,False,None,643105,,1,900,2220,40,False,1570012997.89,1570014170.69,311,1570012997.89,1570012997.89,None,3.35 miles,
446744,10/02/2019 07:27:34,1570012040.8,398,False,,643104,,1,500,2220,33,True,1570013048.88,1570013665.38,166,1570013048.88,1570013048.88,None,2.23 miles,
