Id,Live,Status,Tip,Ride type,Rider Id,Rider Status,Request Id,Request time,# pax,Proposal Id,Driver Id,Van Id,Ride Cost,Pricing Scheme Id,Accepted,Paid Amount,Profile,Finance Links,Ride Payment Status,Proposed pickup,Proposed ETA,Original Pickup (before reassignment),I'm Here vs. Proposal,SMS vs. I'm Here,Pickup time,Dropoff,Cancelled,Description,Driver Error,City
158284,False,Finished,R$0,,54687,,731452,10/15/2019 17:32:58,1,498422,130,50,860,2221,1571171604.68,R$8.60,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
158283,False,Finished,R$0,,22029,,731449,10/15/2019 17:32:39,1,498420,120,29,860,2221,1571171573.39,R$8.60,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
158282,False,Finished,R$0,,13857,,731450,10/15/2019 17:32:40,1,498421,53,49,680,2221,1571171573.0,R$6.80,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
158281,False,Canceled by rider,R$0,,33852,,731445,10/15/2019 17:32:05,1,498417,40,27,0,2221,1571171550.88,R$0,No Profile Detected,None,Free,None,,,,,None,None,1571171651.39,None,None,GYN
158280,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=158280">Feedback: 5</a>,R$0,,37898,,731446,10/15/2019 17:32:06,1,498416,109,30,940,2221,1571171550.21,R$9.40,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
158279,False,Finished,R$0,,28720,,731447,10/15/2019 17:32:09,2,498418,117,33,590,2221,1571171541.41,R$5.90,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
158278,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=158278">Feedback: 3</a>,R$0,,6887,,731439,10/15/2019 17:32:01,2,498412,127,60,780,2221,1571171528.0,R$7.80,No Profile Detected,None,Paid (Direct Payment),None,,None,None,None,None,None,None,None,None,GYN
158277,False,Canceled by rider,R$0,,15685,,731430,10/15/2019 17:31:49,2,498408,95,36,0,2221,1571171518.66,R$0,No Profile Detected,None,Free,None,,,,,None,None,1571171531.05,None,None,GYN
158276,False,Finished,R$0,,52693,,731429,10/15/2019 17:31:21,1,498407,130,50,730,2221,1571171494.71,R$7.30,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
158275,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=158275">Feedback: 5</a>,R$0,,30373,,731426,10/15/2019 17:31:09,1,498405,132,58,730,2221,1571171486.81,R$7.30,No Profile Detected,None,Paid (Credits),None,,,None,None,None,None,None,None,None,GYN
158274,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=158274">Feedback: 5</a>,R$0,,3254,,731425,10/15/2019 17:31:05,1,498404,109,30,680,2221,1571171480.46,R$6.80,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
158273,False,Finished,R$0,,31128,,731411,10/15/2019 17:30:30,1,498394,133,52,680,2221,1571171442.89,R$6.80,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
158272,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=158272">Feedback: 5</a>,R$0,,56181,,731406,10/15/2019 17:30:04,1,498392,99,40,680,2221,1571171430.57,R$6.80,No Profile Detected,None,Paid (Direct Payment and Credits),None,,,None,None,None,None,None,None,None,GYN
158271,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=158271">Feedback: 4</a>,R$0,,15398,,731408,10/15/2019 17:30:13,1,498393,110,24,680,2221,1571171426.99,R$6.80,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
158270,False,Canceled by rider,R$0,,31128,,731394,10/15/2019 17:29:40,1,498387,133,52,0,2221,1571171405.47,R$0,No Profile Detected,None,Free,None,,,,,None,None,1571171417.74,None,None,GYN
158269,False,Finished,R$0,,39045,,731393,10/15/2019 17:29:38,1,498386,135,51,860,2221,1571171390.49,R$8.60,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
158268,False,Finished,R$0,,14295,,731392,10/15/2019 17:29:34,1,498385,98,62,540,2221,1571171388.53,R$5.40,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
158267,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=158267">Feedback: 5</a>,R$0,,33682,,731389,10/15/2019 17:29:13,1,498382,72,61,680,2221,1571171382.31,R$6.80,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
158266,False,Finished,R$0,,27194,,731385,10/15/2019 17:28:57,1,498379,121,38,570,2221,1571171365.08,R$5.70,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
158265,False,Finished,R$0,,35194,,731372,10/15/2019 17:28:13,2,498369,101,44,780,2221,1571171302.0,R$7.80,No Profile Detected,None,Paid (Credits),None,,,None,None,None,None,None,None,None,GYN
158264,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=158264">Feedback: 5</a>,R$0,,55886,,731357,10/15/2019 17:27:42,1,498362,105,32,365,2221,1571171292.19,R$3.65,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
158263,False,Canceled by rider,R$0,,35194,,731333,10/15/2019 17:26:50,1,498346,101,44,0,2221,1571171226.95,R$0,No Profile Detected,None,Free,None,,,,,None,None,1571171237.08,None,None,GYN
158262,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=158262">Feedback: 5</a>,R$0,,14175,,731336,10/15/2019 17:26:54,1,498343,130,50,680,2221,1571171226.79,R$6.80,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
158261,False,Finished,R$0,,41432,,731330,10/15/2019 17:26:45,1,498345,137,47,860,2221,1571171226.37,R$8.60,No Profile Detected,None,Paid (Direct Payment and Credits),None,,,None,None,None,None,None,None,None,GYN
158260,False,Reassigned,R$0,,6887,,731328,10/15/2019 17:26:36,2,498337,117,33,0,2221,1571171213.48,R$0,No Profile Detected,None,Free,None,,,,,None,None,1571171528.1,None,None,GYN
158259,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=158259">Feedback: 5</a>,R$0,,53918,,731327,10/15/2019 17:26:27,1,498336,114,23,680,2221,1571171200.22,R$6.80,No Profile Detected,None,Paid (Credits),None,,,None,None,None,None,None,None,None,GYN
158258,False,Reassigned,R$0,,50982,,731309,10/15/2019 17:25:33,1,498320,105,32,0,2221,1571171159.14,R$0,No Profile Detected,None,Free,None,,,,,None,None,1571171648.93,None,None,GYN
158257,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=158257">Feedback: 5</a>,R$0,,5750,,731313,10/15/2019 17:25:39,1,498325,132,58,680,2221,1571171153.22,R$6.80,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
158256,False,Canceled by rider,R$0,,44920,,731312,10/15/2019 17:25:39,1,498323,110,24,0,2221,1571171152.01,R$0,No Profile Detected,None,Free,None,,,,,None,None,1571171462.0,None,None,GYN
