Id,Live,Status,Tip,Ride type,Rider Id,Rider Status,Request Id,Request time,# pax,Proposal Id,Driver Id,Van Id,Ride Cost,Pricing Scheme Id,Accepted,Paid Amount,Profile,Finance Links,Ride Payment Status,Proposed pickup,Proposed ETA,Original Pickup (before reassignment),I'm Here vs. Proposal,SMS vs. I'm Here,Pickup time,Dropoff,Cancelled,Description,Driver Error,City
171184,False,Finished,R$0,,53805,,782462,10/23/2019 16:02:06,1,532066,74,28,500,2218,1571857334.93,R$5,No Profile Detected,None,Paid (Credits),None,,,None,None,None,None,None,None,None,GYN
171183,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=171183">Feedback: 5</a>,R$0,,3590,,782461,10/23/2019 16:02:00,1,532065,53,35,1180,2218,1571857331.42,R$11.80,No Profile Detected,None,Paid (Credits),None,,,None,None,None,None,None,None,None,GYN
171182,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=171182">Feedback: 5</a>,R$0,,19673,,782457,10/23/2019 16:01:21,1,532060,127,62,500,2218,1571857287.6,R$5,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
171181,False,Reassigned,R$0,,57707,None,782449,10/23/2019 16:00:05,1,532057,128,52,0,2218,1571857213.68,R$0,No Profile Detected,None,Free,None,,,,,None,None,1571857393.53,None,None,GYN
171180,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=171180">Feedback: 1</a>,R$0,,33229,,782447,10/23/2019 15:59:53,1,532055,113,41,670,2218,1571857203.43,R$6.70,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
171179,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=171179">Feedback: 5</a>,R$0,,43441,,782443,10/23/2019 15:59:05,1,532051,22,49,860,2218,1571857159.3,R$8.60,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
171178,False,Finished,R$0,,53776,,782442,10/23/2019 15:58:46,2,532050,120,27,550,2218,1571857132.61,R$5.50,No Profile Detected,None,Paid (Credits),None,,,None,,None,None,None,None,None,GYN
171177,False,Canceled by rider,R$0,,57707,None,782438,10/23/2019 15:58:19,2,532046,136,47,0,2218,1571857111.43,R$0,No Profile Detected,None,Free,None,,,,,None,None,1571857170.41,None,None,GYN
171176,False,Finished,R$0,,49988,,782435,10/23/2019 15:58:05,1,532043,108,31,430,2218,1571857096.89,R$4.30,No Profile Detected,None,Paid (Direct Payment and Credits),None,,,None,None,None,None,None,None,None,GYN
171175,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=171175">Feedback: 5</a>,R$0,,44064,,782434,10/23/2019 15:57:18,1,532042,88,42,500,2218,1571857046.63,R$5,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
171174,False,Finished,R$0,,46052,,782432,10/23/2019 15:57:13,1,532040,98,25,520,2218,1571857038.04,R$5.20,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
171173,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=171173">Feedback: 5</a>,R$0,,3611,None,782426,10/23/2019 15:55:58,1,532034,137,38,520,2218,1571856977.77,R$5.20,No Profile Detected,None,Paid (Credits),None,,,None,None,None,None,None,None,None,GYN
171172,False,Canceled by rider,R$0,,53776,,782422,10/23/2019 15:55:26,2,532035,79,24,0,2218,1571856964.9,R$0,No Profile Detected,None,Free,None,,,,,None,None,1571857109.72,None,None,GYN
171171,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=171171">Feedback: 5</a>,R$0,,8501,,782423,10/23/2019 15:55:32,1,532032,134,40,670,2218,1571856953.05,R$6.70,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
171170,False,Finished,R$0,,56698,,782419,10/23/2019 15:55:15,1,532029,105,60,860,2218,1571856933.74,R$8.60,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
171169,False,Finished,R$0,,45390,,782416,10/23/2019 15:54:42,1,532028,133,29,470,2218,1571856916.75,R$4.70,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
171168,False,Finished,R$0,,24822,,782414,10/23/2019 15:54:37,1,532025,113,41,500,2218,1571856882.72,R$5,No Profile Detected,None,Paid (Direct Payment),None,,None,None,None,None,None,None,None,None,GYN
171167,False,Finished,R$0,,44408,,782412,10/23/2019 15:54:25,1,532023,97,61,860,2218,1571856871.68,R$8.60,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
171166,False,Finished,R$0,,52442,,782404,10/23/2019 15:53:21,1,532015,114,43,500,2218,1571856823.79,R$5,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
171165,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=171165">Feedback: 5</a>,R$0,,26427,,782401,10/23/2019 15:52:33,1,532012,136,47,520,2218,1571856769.7,R$5.20,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
171164,False,Finished,R$0,,42912,,782398,10/23/2019 15:52:19,1,532009,79,24,1180,2218,1571856747.43,R$11.80,No Profile Detected,None,Paid (Direct Payment and Credits),None,,,None,None,None,None,None,None,None,GYN
171163,False,Canceled by rider,R$0,,53776,,782393,10/23/2019 15:51:37,2,532005,120,27,0,2218,1571856715.99,R$0,No Profile Detected,None,Free,None,,,None,,None,None,1571856788.52,None,None,GYN
171162,False,Finished,R$0,,11568,,782384,10/23/2019 15:50:39,1,531997,72,23,470,2218,1571856647.13,R$4.70,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
171161,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=171161">Feedback: 5</a>,R$0,,52246,,782369,10/23/2019 15:48:02,1,531986,121,44,520,2218,1571856493.69,R$5.20,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
171160,False,Canceled by rider,R$0,,8762,,782368,10/23/2019 15:47:33,1,531985,129,50,0,2218,1571856465.93,R$0,No Profile Detected,None,Free,None,,,,,None,None,1571856547.27,None,None,GYN
171159,False,Finished,R$0,,11851,,782363,10/23/2019 15:45:02,1,531981,101,55,860,2218,1571856309.58,R$8.60,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
171158,False,Canceled by rider,R$0,,53776,,782360,10/23/2019 15:44:33,2,531978,120,27,0,2218,1571856279.45,R$0,No Profile Detected,None,Free,None,,,,,None,None,1571856326.0,None,None,GYN
171157,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=171157">Feedback: 5</a>,R$0,,57060,,782356,10/23/2019 15:42:45,1,531974,130,48,1140,2218,1571856178.99,R$11.40,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
171156,False,Reassigned,R$0,,24822,,782355,10/23/2019 15:42:27,1,531973,96,36,0,2218,1571856163.9,R$0,No Profile Detected,None,Free,None,,,,,None,None,1571856882.8,None,None,GYN
171155,False,Finished,R$0,,12336,,782354,10/23/2019 15:42:14,1,531972,117,33,500,2218,1571856144.21,R$5,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
171154,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=171154">Feedback: 5</a>,R$0,,57553,,782353,10/23/2019 15:41:53,1,531971,114,43,500,2218,1571856132.14,R$5,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
