Id,Live,Status,Tip,Ride type,Rider Id,Rider Status,Request Id,Request time,# pax,Proposal Id,Driver Id,Van Id,Ride Cost,Pricing Scheme Id,Accepted,Paid Amount,Profile,Finance Links,Ride Payment Status,Proposed pickup,Proposed ETA,Original Pickup (before reassignment),I'm Here vs. Proposal,SMS vs. I'm Here,Pickup time,Dropoff,Cancelled,Description,Driver Error,City
137284,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=137284">Feedback: 5</a>,R$0,,42081,,634612,10/01/2019 07:46:27,1,442093,76,44,900,2220,1569926800.99,R$9,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
137283,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=137283">Feedback: 5</a>,R$0,,1005,,634609,10/01/2019 07:46:00,1,442091,62,40,500,2220,1569926766.88,R$5,No Profile Detected,None,Paid (Direct Payment),None,,None,None,None,None,None,None,None,None,GYN
137282,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=137282">Feedback: 5</a>,R$0,,6768,,634607,10/01/2019 07:45:18,1,442088,64,51,570,2220,1569926729.03,R$5.70,No Profile Detected,None,Paid (Credits),None,,,None,None,None,None,None,None,None,GYN
137281,False,Finished,R$0,,53602,None,634603,10/01/2019 07:44:23,1,442084,20,38,1450,2220,1569926691.96,R$14.50,No Profile Detected,None,Paid (Direct Payment and Credits),None,,,None,None,None,None,None,None,None,GYN
137280,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=137280">Feedback: 5</a>,R$0,,22024,,634602,10/01/2019 07:44:01,1,442081,41,30,500,2220,1569926647.17,R$5,No Profile Detected,None,Paid (Direct Payment),None,,None,None,,None,None,None,None,None,GYN
137279,False,Finished,R$0,,47955,,634595,10/01/2019 07:43:46,1,442076,75,24,940,2220,1569926636.0,R$9.40,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
137278,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=137278">Feedback: 5</a>,R$0,,52586,,634593,10/01/2019 07:43:42,1,442074,43,47,500,2220,1569926633.71,R$5,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
137277,False,No show,R$0,,53603,None,634588,10/01/2019 07:43:08,1,442069,66,33,0,2220,1569926604.68,R$0,No Profile Detected,None,Free,None,,,None,None,None,None,None,None,None,GYN
137276,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=137276">Feedback: 5</a>,R$0,,40452,,634587,10/01/2019 07:42:40,2,442068,91,32,990,2220,1569926573.66,R$9.90,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
137275,False,Reassigned,R$0,,1005,,634576,10/01/2019 07:41:09,1,442058,18,53,0,2220,1569926483.83,R$0,No Profile Detected,None,Free,None,,,,,None,None,1569926766.94,None,None,GYN
