	VAN_ID	DAY	METHOD	CLIENT_DISTANCE_COST	CLIENT_DURATION_COST	OPERATOR_DISTANCE_COST	OPERATOR_DURATION_COST
0	54	9	GA 2	6.4113999999999995	77.35499999999999	269.4006	365.07666666666665
1	42	9	GA 2	8.3363	100.67	271.14419999999996	368.34166666666664
2	40	9	GA 2	7.173700000000001	86.41833333333332	262.8997	363.56
3	38	9	GA 2	8.2863	99.81500000000003	244.3076	328.36333333333334
4	26	9	GA 2	5.775399999999999	69.57	260.7408	355.33
5	55	9	GA 2	5.8302000000000005	70.32833333333333	223.0236	311.1366666666667
6	47	9	GA 2	7.0154000000000005	84.66166666666666	249.11640000000003	346.79333333333335
7	24	9	GA 2	8.3247	100.21166666666666	286.52900000000005	389.49999999999994
8	57	9	GA 2	7.3418	88.635	279.16119999999995	385.96833333333325
9	23	9	GA 2	7.053999999999999	85.03999999999999	274.78040000000004	374.7049999999999
10	44	9	GA 2	6.700399999999999	80.80166666666666	286.9071	388.52166666666665
11	50	9	GA 2	7.67	92.505	262.3490000000001	361.58333333333326
12	29	9	GA 2	7.3686	89.06166666666667	253.3537	359.0466666666666
13	30	9	GA 2	7.3759999999999994	88.90333333333334	285.58400000000006	377.44500000000005
14	49	9	GA 2	7.6542	92.36000000000001	271.10749999999996	372.69666666666666
15	53	9	GA 2	5.5582	67.07666666666665	225.2439	309.2866666666667
16	48	9	GA 2	8.535200000000001	103.00500000000001	287.99950000000007	403.21333333333337
17	34	9	GA 2	7.114000000000001	85.81499999999998	270.00899999999996	353.58666666666664
18	45	9	GA 2	7.7632	93.73666666666668	280.9757	391.48833333333334
19	32	9	GA 2	8.2559	99.88666666666667	275.1076	390.68500000000006
20	56	9	GA 2	6.6365	79.93833333333333	266.33209999999997	365.965
21	25	9	GA 2	8.1219	97.96333333333334	243.2482	337.5033333333334
22	31	9	GA 2	7.901	95.52666666666666	262.2488	360.3183333333333
23	43	9	GA 2	7.7881	93.855	245.3945	340.7483333333333
24	35	9	GA 2	10.428999999999998	125.74499999999999	289.3942	395.24333333333334
25	27	9	GA 2	6.7249	80.92333333333332	242.8387	340.22166666666675
26	46	9	GA 2	9.0046	109.03166666666664	258.08	364.0783333333333
27	52	9	GA 2	8.423	101.45166666666667	304.90629999999993	432.89166666666665
28	28	9	GA 2	7.1204	85.74499999999999	266.00350000000003	362.28166666666664
29	33	9	GA 2	7.5211999999999986	90.70666666666666	225.25470000000004	303.9416666666666
30	51	9	GA 2	6.774500000000001	81.64166666666665	254.2372	352.66499999999996
31	36	9	GA 2	7.8211	94.27833333333334	274.08509999999995	373.12333333333333
0	54	7	DOOR-TO-DOOR	0.0	0.0	276.10510000000005	372.6366666666667
1	42	7	DOOR-TO-DOOR	0.0	0.0	254.02540000000002	345.71166666666664
2	40	7	DOOR-TO-DOOR	0.0	0.0	223.8645	313.4316666666667
3	38	7	DOOR-TO-DOOR	0.0	0.0	222.4038	307.20666666666665
4	26	7	DOOR-TO-DOOR	0.0	0.0	285.3248999999999	389.89500000000004
5	55	7	DOOR-TO-DOOR	0.0	0.0	248.11499999999998	340.00166666666667
6	47	7	DOOR-TO-DOOR	0.0	0.0	252.60200000000003	349.825
7	24	7	DOOR-TO-DOOR	0.0	0.0	246.40810000000002	337.56999999999994
8	57	7	DOOR-TO-DOOR	0.0	0.0	285.6293	394.64
9	23	7	DOOR-TO-DOOR	0.0	0.0	278.1304	379.2133333333333
10	44	7	DOOR-TO-DOOR	0.0	0.0	286.2939	389.1666666666667
11	50	7	DOOR-TO-DOOR	0.0	0.0	238.8804	329.5616666666666
12	29	7	DOOR-TO-DOOR	0.0	0.0	245.81980000000001	345.28666666666663
13	30	7	DOOR-TO-DOOR	0.0	0.0	228.2143	320.7633333333333
14	49	7	DOOR-TO-DOOR	0.0	0.0	300.7756	404.5216666666666
15	53	7	DOOR-TO-DOOR	0.0	0.0	236.75959999999998	326.3033333333333
16	48	7	DOOR-TO-DOOR	0.0	0.0	284.7822	400.0083333333333
17	34	7	DOOR-TO-DOOR	0.0	0.0	296.7667	416.415
18	45	7	DOOR-TO-DOOR	0.0	0.0	250.71220000000002	352.33166666666665
19	32	7	DOOR-TO-DOOR	0.0	0.0	277.17359999999996	383.8433333333333
20	56	7	DOOR-TO-DOOR	0.0	0.0	264.69010000000003	359.34833333333336
21	25	7	DOOR-TO-DOOR	0.0	0.0	265.41170000000005	364.5966666666666
22	31	7	DOOR-TO-DOOR	0.0	0.0	222.6662	309.91333333333336
23	43	7	DOOR-TO-DOOR	0.0	0.0	237.73049999999998	323.6816666666667
24	35	7	DOOR-TO-DOOR	0.0	0.0	185.45020000000002	259.885
25	27	7	DOOR-TO-DOOR	0.0	0.0	254.15060000000003	357.5933333333333
26	46	7	DOOR-TO-DOOR	0.0	0.0	269.78589999999997	379.83
27	52	7	DOOR-TO-DOOR	0.0	0.0	240.3821	336.34833333333336
28	28	7	DOOR-TO-DOOR	0.0	0.0	195.92470000000003	260.8066666666667
29	33	7	DOOR-TO-DOOR	0.0	0.0	261.2865	365.41999999999996
30	51	7	DOOR-TO-DOOR	0.0	0.0	259.19219999999996	359.3483333333334
31	36	7	DOOR-TO-DOOR	0.0	0.0	136.4994	178.9933333333333
0	54	2	GA 1	6.0721	73.21166666666666	262.1915	350.75499999999994
1	42	2	GA 1	8.6453	103.98166666666665	268.1058	361.86833333333334
2	40	2	GA 1	9.968700000000002	120.10666666666667	282.8031	382.3466666666667
3	38	2	GA 1	6.5213	78.72666666666666	273.9313	369.49500000000006
4	26	2	GA 1	7.776	93.71333333333334	264.7002	362.25333333333333
5	55	2	GA 1	7.4437	89.66833333333332	241.28060000000002	333.53999999999996
6	47	2	GA 1	6.5247	78.83999999999999	235.7375	338.9366666666666
7	24	2	GA 1	7.019700000000001	84.56500000000001	276.23230000000007	388.7083333333334
8	57	2	GA 1	4.697900000000001	56.585	217.2133	303.79499999999996
9	23	2	GA 1	7.7781	93.86	226.28309999999996	325.66333333333336
10	2	2	GA 1	0.1528	1.8333333333333335	1.9613	3.52
11	44	2	GA 1	8.5375	103.11333333333334	244.82600000000002	330.7833333333333
12	50	2	GA 1	5.963599999999999	71.92666666666668	178.83700000000005	243.43666666666664
13	29	2	GA 1	8.746	105.19333333333333	247.35569999999996	336.86
14	30	2	GA 1	6.042	72.75833333333333	257.55559999999997	352.3066666666667
15	49	2	GA 1	5.9837	72.15333333333334	255.0318	359.6466666666667
16	53	2	GA 1	7.1137999999999995	85.99	258.9061	355.0566666666666
17	48	2	GA 1	6.809100000000001	82.07666666666665	266.1298	360.1933333333333
18	34	2	GA 1	5.8348	70.29333333333334	220.25969999999998	297.99
19	45	2	GA 1	7.299799999999999	88.03500000000001	232.32489999999999	328.1916666666666
20	32	2	GA 1	6.4796000000000005	78.15833333333333	236.60100000000003	323.15166666666664
21	56	2	GA 1	5.420100000000001	65.385	169.2123	229.43666666666664
22	25	2	GA 1	5.487500000000001	66.03499999999998	266.34039999999993	364.60333333333335
23	31	2	GA 1	5.301100000000001	63.671666666666674	199.35179999999997	279.5966666666667
24	43	2	GA 1	6.886299999999999	82.92333333333335	241.3762	340.2716666666667
25	27	2	GA 1	7.506899999999999	90.55833333333335	273.10870000000006	382.54333333333335
26	46	2	GA 1	7.7166	92.87833333333333	248.1431	354.5583333333334
27	52	2	GA 1	6.3821	76.93833333333333	253.23649999999995	355.0266666666667
28	28	2	GA 1	7.499	90.22	256.26739999999995	348.6183333333333
29	33	2	GA 1	6.388400000000001	76.89333333333332	225.06649999999996	310.1466666666667
30	51	2	GA 1	8.817499999999999	106.15166666666667	265.6927	361.45166666666665
31	36	2	GA 1	6.4619	78.02333333333333	240.1313	336.17333333333335
32	41	2	GA 1	9.0662	109.21166666666664	273.6895	381.52
0	54	3	GA 1	7.966600000000001	95.87666666666667	276.991	365.935
1	42	3	GA 1	8.126	98.39833333333335	264.00120000000004	367.7766666666667
2	40	3	GA 1	9.719	117.17166666666665	295.45910000000003	401.24500000000006
3	38	3	GA 1	0.735	8.853333333333332	27.194899999999997	39.36833333333334
4	26	3	GA 1	6.602600000000001	79.68999999999998	264.0148	372.745
5	47	3	GA 1	7.0941	85.56666666666666	259.7644	356.22499999999997
6	55	3	GA 1	8.9605	108.215	263.7798	375.03999999999996
7	24	3	GA 1	5.595700000000001	67.44833333333334	234.0251	328.89666666666665
8	57	3	GA 1	9.191600000000001	110.71666666666667	260.214	365.3783333333334
9	23	3	GA 1	7.559399999999999	91.11833333333333	266.9277	367.40000000000003
10	44	3	GA 1	5.7532	69.50666666666666	251.3089	336.15000000000003
11	50	3	GA 1	8.037500000000001	96.865	279.67920000000004	395.61833333333334
12	29	3	GA 1	5.3397	64.56666666666668	196.26719999999997	270.10999999999996
13	30	3	GA 1	4.0278	48.485	222.6024	299.38999999999993
14	49	3	GA 1	8.622100000000001	103.72500000000001	276.49739999999997	387.2699999999999
15	53	3	GA 1	6.0878000000000005	73.53166666666667	231.9704	318.6566666666667
16	48	3	GA 1	7.4176	89.36499999999998	247.4518	337.4933333333333
17	34	3	GA 1	6.615	79.75833333333335	258.7241	353.5333333333333
18	45	3	GA 1	6.4127	77.095	230.62540000000004	319.03333333333336
19	32	3	GA 1	5.8654	70.74	262.7054	366.13
20	56	3	GA 1	6.2101	74.765	237.38049999999998	317.5283333333333
21	25	3	GA 1	7.3895	89.00833333333334	252.50270000000003	351.2366666666667
22	43	3	GA 1	6.9441999999999995	83.65499999999999	221.1881	302.49166666666673
23	31	3	GA 1	5.3827	64.91	220.2645	310.1
24	27	3	GA 1	6.114500000000001	73.62666666666668	249.8605	342.27166666666676
25	46	3	GA 1	5.121600000000001	61.533333333333346	260.59860000000003	351.44666666666683
26	52	3	GA 1	7.896400000000001	95.15666666666667	267.36199999999997	357.47
27	28	3	GA 1	7.9827	96.13000000000001	274.6439	366.80166666666673
28	33	3	GA 1	6.267000000000001	75.46000000000001	231.99749999999997	322.3083333333333
29	51	3	GA 1	8.0007	96.56833333333331	251.77649999999997	348.28666666666663
30	36	3	GA 1	5.931100000000001	71.36833333333333	253.3394	348.7466666666667
31	41	3	GA 1	7.186699999999999	86.55166666666665	264.9431000000001	360.465
0	54	22	CORNER-TO-CORNER	5.2185	62.88166666666667	255.3058	340.07
1	58	22	CORNER-TO-CORNER	4.6998	56.595000000000006	215.98669999999996	289.015
2	63	22	CORNER-TO-CORNER	5.7711	69.67500000000001	216.9935	293.84
3	42	22	CORNER-TO-CORNER	5.926899999999998	71.56833333333334	246.8223	331.1433333333334
4	62	22	CORNER-TO-CORNER	7.1691	86.39666666666666	241.2677	344.205
5	40	22	CORNER-TO-CORNER	6.9721	83.92999999999998	248.84969999999998	333.81500000000005
6	38	22	CORNER-TO-CORNER	6.0176	72.69833333333335	212.61050000000003	290.9366666666666
7	26	22	CORNER-TO-CORNER	6.213699999999999	74.80833333333332	256.7762	344.71500000000003
8	55	22	CORNER-TO-CORNER	3.1275	37.84833333333333	153.26839999999999	207.77833333333334
9	47	22	CORNER-TO-CORNER	6.012	72.45166666666667	241.1613	321.1216666666666
10	24	22	CORNER-TO-CORNER	5.5005	66.48833333333334	231.13499999999996	312.39666666666676
11	57	22	CORNER-TO-CORNER	7.4112	89.37833333333332	260.3335	353.7283333333334
12	23	22	CORNER-TO-CORNER	7.5044	90.71499999999999	264.73490000000004	374.81500000000005
13	60	22	CORNER-TO-CORNER	5.568499999999999	67.15833333333335	208.69299999999996	288.47166666666664
14	61	22	CORNER-TO-CORNER	6.578899999999999	79.485	233.1234	323.6316666666667
15	44	22	CORNER-TO-CORNER	5.513199999999999	66.80333333333334	264.7575	350.2116666666667
16	50	22	CORNER-TO-CORNER	6.096	73.51333333333334	244.13390000000004	330.15000000000003
17	29	22	CORNER-TO-CORNER	5.299099999999999	64.09	211.2826	292.35166666666674
18	49	22	CORNER-TO-CORNER	8.3783	101.02833333333334	288.44460000000004	381.88166666666666
19	53	22	CORNER-TO-CORNER	5.3104	64.13	227.25310000000002	307.35
20	48	22	CORNER-TO-CORNER	5.795700000000001	69.93833333333332	256.9634	335.16666666666663
21	34	22	CORNER-TO-CORNER	4.3465	52.595	197.92700000000002	257.37166666666667
22	45	22	CORNER-TO-CORNER	5.6897	68.755	230.93349999999998	309.96166666666664
23	32	22	CORNER-TO-CORNER	6.049200000000001	72.97	237.57109999999994	328.14500000000004
24	56	22	CORNER-TO-CORNER	6.770899999999999	81.56666666666666	208.31969999999998	295.8933333333334
25	25	22	CORNER-TO-CORNER	4.0807	49.16833333333334	155.0046	203.44999999999996
26	59	22	CORNER-TO-CORNER	6.131099999999999	74.09166666666667	235.20850000000002	322.9316666666667
27	43	22	CORNER-TO-CORNER	5.527299999999999	66.85666666666668	244.59779999999998	330.41999999999996
28	31	22	CORNER-TO-CORNER	5.3167	64.13499999999999	222.29129999999998	302.6516666666667
29	35	22	CORNER-TO-CORNER	5.458699999999999	65.64666666666666	254.9309	337.28
30	27	22	CORNER-TO-CORNER	6.1377999999999995	73.82166666666666	214.4065	299.13499999999993
31	46	22	CORNER-TO-CORNER	5.8676	70.85166666666667	259.0274	348.4766666666667
32	52	22	CORNER-TO-CORNER	6.5561	79.31666666666666	235.0557	318.37333333333333
33	28	22	CORNER-TO-CORNER	5.918200000000001	71.33333333333334	252.73660000000004	343.8716666666666
34	33	22	CORNER-TO-CORNER	6.989699999999999	84.235	257.92699999999996	344.095
35	51	22	CORNER-TO-CORNER	4.6747000000000005	56.651666666666664	212.74169999999998	289.94833333333344
36	36	22	CORNER-TO-CORNER	6.320200000000001	76.33833333333332	239.2773	324.85333333333335
37	41	22	CORNER-TO-CORNER	6.195500000000001	74.595	274.8268	376.86
0	54	3	GA 0	6.099500000000001	73.38499999999999	277.09020000000004	363.4566666666666
1	42	3	GA 0	7.754099999999999	93.45166666666665	267.64250000000004	374.2800000000001
2	40	3	GA 0	8.4336	101.56	299.2936	412.88833333333326
3	38	3	GA 0	0.8246	9.923333333333334	27.405999999999995	40.99166666666667
4	26	3	GA 0	6.857000000000001	82.61666666666666	263.8494	366.48833333333334
5	47	3	GA 0	5.8965	70.89833333333334	260.01910000000004	355.3316666666666
6	55	3	GA 0	8.665000000000001	104.55499999999999	269.6825	382.8383333333333
7	24	3	GA 0	5.3426	64.49833333333333	242.42910000000003	338.0833333333333
