	VAN_ID	DAY	METHOD	CLIENT_DISTANCE_COST	CLIENT_DURATION_COST	OPERATOR_DISTANCE_COST	OPERATOR_DURATION_COST
0	54	9	GA 2	6.4113999999999995	77.35499999999999	269.4006	365.07666666666665
1	42	9	GA 2	8.3363	100.67	271.14419999999996	368.34166666666664
2	40	9	GA 2	7.173700000000001	86.41833333333332	262.8997	363.56
3	38	9	GA 2	8.2863	99.81500000000003	244.3076	328.36333333333334
4	26	9	GA 2	5.775399999999999	69.57	260.7408	355.33
5	55	9	GA 2	5.8302000000000005	70.32833333333333	223.0236	311.1366666666667
6	47	9	GA 2	7.0154000000000005	84.66166666666666	249.11640000000003	346.79333333333335
7	24	9	GA 2	8.3247	100.21166666666666	286.52900000000005	389.49999999999994
8	57	9	GA 2	7.3418	88.635	279.16119999999995	385.96833333333325
9	23	9	GA 2	7.053999999999999	85.03999999999999	274.78040000000004	374.7049999999999
10	44	9	GA 2	6.700399999999999	80.80166666666666	286.9071	388.52166666666665
11	50	9	GA 2	7.67	92.505	262.3490000000001	361.58333333333326
12	29	9	GA 2	7.3686	89.06166666666667	253.3537	359.0466666666666
13	30	9	GA 2	7.3759999999999994	88.90333333333334	285.58400000000006	377.44500000000005
14	49	9	GA 2	7.6542	92.36000000000001	271.10749999999996	372.69666666666666
15	53	9	GA 2	5.5582	67.07666666666665	225.2439	309.2866666666667
16	48	9	GA 2	8.535200000000001	103.00500000000001	287.99950000000007	403.21333333333337
17	34	9	GA 2	7.114000000000001	85.81499999999998	270.00899999999996	353.58666666666664
18	45	9	GA 2	7.7632	93.73666666666668	280.9757	391.48833333333334
19	32	9	GA 2	8.2559	99.88666666666667	275.1076	390.68500000000006
20	56	9	GA 2	6.6365	79.93833333333333	266.33209999999997	365.965
21	25	9	GA 2	8.1219	97.96333333333334	243.2482	337.5033333333334
22	31	9	GA 2	7.901	95.52666666666666	262.2488	360.3183333333333
23	43	9	GA 2	7.7881	93.855	245.3945	340.7483333333333
24	35	9	GA 2	10.428999999999998	125.74499999999999	289.3942	395.24333333333334
25	27	9	GA 2	6.7249	80.92333333333332	242.8387	340.22166666666675
26	46	9	GA 2	9.0046	109.03166666666664	258.08	364.0783333333333
27	52	9	GA 2	8.423	101.45166666666667	304.90629999999993	432.89166666666665
28	28	9	GA 2	7.1204	85.74499999999999	266.00350000000003	362.28166666666664
29	33	9	GA 2	7.5211999999999986	90.70666666666666	225.25470000000004	303.9416666666666
30	51	9	GA 2	6.774500000000001	81.64166666666665	254.2372	352.66499999999996
31	36	9	GA 2	7.8211	94.27833333333334	274.08509999999995	373.12333333333333
0	54	8	GA 2	7.2247	87.005	259.4854	363.9199999999999
1	42	8	GA 2	6.7024	80.80333333333333	292.61609999999996	392.6
2	40	8	GA 2	7.988	96.34666666666666	263.8654	375.565
3	38	8	GA 2	5.014500000000001	60.36	195.38929999999996	266.29
4	26	8	GA 2	7.9705	95.98666666666665	245.8869	344.7449999999999
5	55	8	GA 2	6.7271	81.13666666666666	227.4671	303.915
6	47	8	GA 2	7.063300000000001	85.36666666666667	270.7612	371.00666666666666
7	24	8	GA 2	7.0049	84.29166666666666	229.97860000000003	314.1266666666667
8	57	8	GA 2	6.1182	73.645	267.33669999999995	356.6616666666667
9	23	8	GA 2	8.4245	101.53666666666666	248.75000000000003	330.4949999999999
10	44	8	GA 2	7.2216	87.35000000000001	281.6093	405.93999999999994
11	50	8	GA 2	5.300800000000001	63.765	238.4638	317.8816666666666
12	29	8	GA 2	6.564799999999999	79.14499999999998	259.4024	349.62000000000006
13	30	8	GA 2	7.029399999999999	84.67666666666666	273.8558	373.27666666666664
14	49	8	GA 2	6.599	79.47999999999999	244.33089999999999	327.3283333333334
15	53	8	GA 2	6.7422	81.41166666666666	259.32849999999996	340.89666666666665
16	48	8	GA 2	6.796599999999999	81.99	255.4079	345.8916666666667
17	34	8	GA 2	8.1228	97.77166666666668	281.0388	383.36333333333334
18	45	8	GA 2	7.4798	90.09	256.1068	370.1733333333333
19	32	8	GA 2	4.841799999999998	58.36666666666666	176.671	243.805
20	56	8	GA 2	6.378099999999999	76.975	256.40919999999994	357.04333333333324
21	25	8	GA 2	6.830900000000001	82.24000000000001	264.106	355.71000000000004
22	31	8	GA 2	6.3305	76.28833333333333	229.0654	315.31000000000006
23	43	8	GA 2	7.5907	91.33333333333333	254.74869999999999	356.5483333333333
24	35	8	GA 2	5.6732	68.52833333333334	213.13879999999997	284.18666666666667
25	27	8	GA 2	7.6823	92.64666666666665	280.96240000000006	383.1766666666667
26	46	8	GA 2	5.3119000000000005	63.94833333333334	232.54649999999998	323.475
27	52	8	GA 2	5.3995	65.20666666666666	244.81060000000002	324.6383333333334
28	28	8	GA 2	7.085699999999999	85.42833333333334	273.3376	375.17999999999995
29	33	8	GA 2	6.072699999999999	73.175	228.66410000000002	309.895
30	51	8	GA 2	6.0207	72.54833333333333	270.79	366.38000000000005
31	36	8	GA 2	5.476799999999999	66.04333333333334	256.1602	355.46999999999997
0	42	12	DOOR-TO-DOOR	0.0	0.0	230.14299999999997	299.3316666666667
1	40	12	DOOR-TO-DOOR	0.0	0.0	180.5014	244.93666666666667
2	38	12	DOOR-TO-DOOR	0.0	0.0	186.60410000000002	252.20833333333334
3	26	12	DOOR-TO-DOOR	0.0	0.0	212.37689999999998	294.2099999999999
4	47	12	DOOR-TO-DOOR	0.0	0.0	212.20059999999998	277.9183333333333
5	24	12	DOOR-TO-DOOR	0.0	0.0	189.9629	251.065
6	23	12	DOOR-TO-DOOR	0.0	0.0	158.26549999999997	206.40833333333333
7	44	12	DOOR-TO-DOOR	0.0	0.0	157.0934	207.51999999999998
8	50	12	DOOR-TO-DOOR	0.0	0.0	148.86499999999998	198.80833333333334
9	29	12	DOOR-TO-DOOR	0.0	0.0	162.5331	208.36166666666665
10	30	12	DOOR-TO-DOOR	0.0	0.0	190.33200000000005	253.44333333333333
11	49	12	DOOR-TO-DOOR	0.0	0.0	182.9001	234.20166666666665
12	48	12	DOOR-TO-DOOR	0.0	0.0	184.0195	239.16333333333333
13	34	12	DOOR-TO-DOOR	0.0	0.0	175.2278	234.01833333333335
14	45	12	DOOR-TO-DOOR	0.0	0.0	169.56029999999996	229.11
15	32	12	DOOR-TO-DOOR	0.0	0.0	167.33240000000004	230.10666666666665
16	25	12	DOOR-TO-DOOR	0.0	0.0	170.57950000000002	215.13500000000002
17	31	12	DOOR-TO-DOOR	0.0	0.0	14.718799999999998	19.828333333333333
18	43	12	DOOR-TO-DOOR	0.0	0.0	98.9029	129.18
19	35	12	DOOR-TO-DOOR	0.0	0.0	253.3269	326.19000000000005
20	27	12	DOOR-TO-DOOR	0.0	0.0	159.58410000000003	211.5083333333333
21	46	12	DOOR-TO-DOOR	0.0	0.0	102.4802	133.195
22	52	12	DOOR-TO-DOOR	0.0	0.0	75.5712	107.99833333333333
23	28	12	DOOR-TO-DOOR	0.0	0.0	150.3593	202.98
24	33	12	DOOR-TO-DOOR	0.0	0.0	81.1692	115.165
25	51	12	DOOR-TO-DOOR	0.0	0.0	36.0458	48.29666666666667
26	36	12	DOOR-TO-DOOR	0.0	0.0	140.75019999999998	180.62833333333333
0	58	11	GA 1	7.997999999999999	96.38833333333335	239.15560000000002	332.3383333333333
1	54	11	GA 1	6.8038	81.96666666666667	230.8675	315.9333333333333
2	42	11	GA 1	6.0481	73.08833333333334	255.75259999999997	347.04333333333335
3	62	11	GA 1	5.8001	69.92499999999998	212.2079	290.48499999999996
4	40	11	GA 1	7.847299999999999	94.56333333333332	240.02690000000004	344.33
5	38	11	GA 1	2.393	29.03166666666666	102.8331	137.64666666666668
6	26	11	GA 1	6.2955000000000005	75.91833333333334	225.90460000000002	312.99833333333333
7	55	11	GA 1	4.5623000000000005	54.96833333333334	220.70660000000004	288.10833333333335
8	47	11	GA 1	6.2219	75.155	220.6895	310.625
9	24	11	GA 1	7.023400000000001	84.60833333333333	260.3172	354.95833333333337
10	57	11	GA 1	7.8489	94.43666666666665	249.1341	340.47
11	23	11	GA 1	7.1821	86.94166666666666	241.1876	336.6983333333334
12	60	11	GA 1	7.3649000000000004	88.47333333333334	226.0436	319.29499999999996
13	61	11	GA 1	6.5085	78.37	229.52919999999997	320.66999999999996
14	44	11	GA 1	7.781400000000001	93.64166666666667	243.5894	327.1883333333333
15	50	11	GA 1	4.189699999999999	50.505	211.66029999999998	280.3933333333334
16	29	11	GA 1	6.4217	77.58833333333332	236.7436	336.70000000000005
17	30	11	GA 1	3.59	43.201666666666675	144.98539999999997	212.21
18	49	11	GA 1	7.2728	87.72	248.1389	344.4216666666666
19	53	11	GA 1	6.172000000000001	74.25666666666667	250.04110000000003	345.73
20	48	11	GA 1	8.985700000000001	108.26833333333333	262.2224	365.19166666666666
21	34	11	GA 1	6.1164000000000005	73.66	222.66979999999998	299.4899999999999
22	45	11	GA 1	6.9265	83.58833333333332	256.73359999999997	361.94833333333327
23	32	11	GA 1	5.747700000000001	69.17333333333335	229.5808	320.3766666666667
24	56	11	GA 1	6.9182999999999995	83.29499999999999	214.72119999999995	287.9150000000001
25	25	11	GA 1	7.7956	94.04833333333333	240.17159999999996	323.1433333333333
26	59	11	GA 1	8.0527	97.06833333333333	256.9609	358.5183333333333
27	31	11	GA 1	6.4351	77.38333333333333	207.21269999999998	272.14833333333337
28	43	11	GA 1	7.393800000000001	89.26333333333334	215.45109999999997	300.2366666666666
29	35	11	GA 1	6.8094	82.24333333333334	221.04770000000002	313.2966666666666
30	27	11	GA 1	6.3982	77.03833333333334	253.07609999999997	341.8733333333334
31	46	11	GA 1	5.940300000000001	71.55833333333334	223.83740000000003	316.8983333333333
32	52	11	GA 1	6.192500000000001	74.715	229.58949999999996	323.3750000000001
33	28	11	GA 1	7.142900000000001	86.00166666666667	246.35779999999994	334.9133333333333
34	33	11	GA 1	6.1535	74.24833333333333	226.52599999999998	329.22333333333336
35	51	11	GA 1	6.691	80.93333333333334	245.0535	346.72333333333336
36	36	11	GA 1	5.6000000000000005	67.37666666666667	222.8895	299.0366666666666
0	58	10	GA 1	7.283500000000001	87.59833333333333	252.8084	358.98833333333334
1	54	10	GA 1	8.720099999999999	105.04833333333335	219.252	295.1383333333333
2	42	10	GA 1	9.4542	113.91499999999999	257.8109	356.80166666666656
3	62	10	GA 1	6.3824	76.89833333333334	274.4531	375.28833333333336
4	40	10	GA 1	7.931099999999999	95.56833333333333	242.68	333.8016666666667
5	38	10	GA 1	3.5573999999999995	42.88166666666666	144.14339999999999	196.12
6	26	10	GA 1	8.9611	107.97666666666667	286.7507	395.58
7	55	10	GA 1	7.219099999999999	87.02	231.0154	318.6116666666667
8	47	10	GA 1	7.8145	94.64	269.8598	368.26000000000005
9	24	10	GA 1	4.336099999999999	52.37	136.0297	184.9416666666667
10	57	10	GA 1	5.256600000000001	63.379999999999995	218.44750000000002	300.015
11	23	10	GA 1	3.1498999999999997	37.86333333333332	135.1924	190.94166666666666
12	60	10	GA 1	7.1391	86.21000000000001	230.6588	325.2533333333333
13	61	10	GA 1	5.376900000000001	64.85666666666667	207.55879999999996	276.8016666666666
14	44	10	GA 1	6.414899999999999	77.4	262.94	366.10833333333335
15	50	10	GA 1	6.06	73.01833333333333	235.6963	320.20666666666665
16	29	10	GA 1	6.970999999999999	83.84000000000002	250.527	339.835
17	30	10	GA 1	8.123299999999999	97.75999999999998	268.57919999999996	363.5516666666666
18	49	10	GA 1	5.6644000000000005	68.21833333333333	214.46909999999997	296.44166666666666
19	53	10	GA 1	6.5653999999999995	79.17000000000002	241.2725	339.63999999999993
20	48	10	GA 1	5.7118	68.83166666666666	257.27270000000004	350.6683333333333
21	34	10	GA 1	9.2304	110.99999999999999	266.4387	367.4133333333334
22	45	10	GA 1	6.3271	76.32	251.90699999999995	351.4666666666667
23	32	10	GA 1	6.7819	81.90666666666665	251.96609999999998	358.545
24	56	10	GA 1	6.031899999999999	72.71333333333334	269.62530000000004	384.04166666666663
25	25	10	GA 1	9.755999999999998	117.66333333333333	275.68839999999994	388.40000000000003
26	59	10	GA 1	5.6384	67.99833333333333	214.9432	297.5283333333333
27	43	10	GA 1	7.0465	85.11166666666666	262.06910000000005	364.7633333333333
28	31	10	GA 1	8.247299999999997	99.52833333333332	265.958	366.98999999999995
29	35	10	GA 1	4.0453	48.82333333333332	170.124	226.57000000000002
30	27	10	GA 1	7.1493	86.18333333333332	255.9254	354.4116666666667
31	46	10	GA 1	9.2516	111.59500000000001	259.16330000000005	364.8016666666666
32	52	10	GA 1	8.775499999999997	105.53000000000002	236.8911	333.69166666666666
33	28	10	GA 1	9.569399999999998	115.11833333333333	269.00519999999995	374.49833333333333
34	33	10	GA 1	7.818700000000001	94.32166666666667	266.4227	364.845
35	51	10	GA 1	7.247400000000001	87.495	259.7921	347.56000000000006
36	36	10	GA 1	6.7329	81.32666666666668	259.1898	356.06166666666667
0	54	7	DOOR-TO-DOOR	0.0	0.0	276.10510000000005	372.6366666666667
1	42	7	DOOR-TO-DOOR	0.0	0.0	254.02540000000002	345.71166666666664
2	40	7	DOOR-TO-DOOR	0.0	0.0	223.8645	313.4316666666667
3	38	7	DOOR-TO-DOOR	0.0	0.0	222.4038	307.20666666666665
4	26	7	DOOR-TO-DOOR	0.0	0.0	285.3248999999999	389.89500000000004
5	55	7	DOOR-TO-DOOR	0.0	0.0	248.11499999999998	340.00166666666667
6	47	7	DOOR-TO-DOOR	0.0	0.0	252.60200000000003	349.825
7	24	7	DOOR-TO-DOOR	0.0	0.0	246.40810000000002	337.56999999999994
8	57	7	DOOR-TO-DOOR	0.0	0.0	285.6293	394.64
9	23	7	DOOR-TO-DOOR	0.0	0.0	278.1304	379.2133333333333
10	44	7	DOOR-TO-DOOR	0.0	0.0	286.2939	389.1666666666667
11	50	7	DOOR-TO-DOOR	0.0	0.0	238.8804	329.5616666666666
12	29	7	DOOR-TO-DOOR	0.0	0.0	245.81980000000001	345.28666666666663
13	30	7	DOOR-TO-DOOR	0.0	0.0	228.2143	320.7633333333333
14	49	7	DOOR-TO-DOOR	0.0	0.0	300.7756	404.5216666666666
15	53	7	DOOR-TO-DOOR	0.0	0.0	236.75959999999998	326.3033333333333
16	48	7	DOOR-TO-DOOR	0.0	0.0	284.7822	400.0083333333333
17	34	7	DOOR-TO-DOOR	0.0	0.0	296.7667	416.415
